Symbol	Adj Multiple	Date	Open	Adj Open	Forward Lag  1	Prediction	Choice	Sim	Trade Amount	
DPDW	0.0008333333	2004-01-02	1032	1238400	0.0108695652	0.0995259234	1	10000	0	-0.0006986737
LWLG	1	2004-01-01	0.25	0.25	0	0.0382208439	1	9980	2000	
DPDW	0.0008333333	2004-01-05	1104	1324800	-0.0215053763	0.1095698958	1	9917.0752688172	1996	
AIRI	0.0021387307	2004-01-06	79.94	37377.31	0.1428570118	0.0696599498	1	10180.4200165891	1983.4150537635	
NVTL	1	2004-01-07	7.7	7.7	-0.0669056153	0.0723656654	1	10024.1945635595	2036.0840033178	
COVR	1.0377358491	2004-01-08	0.55	0.53	-0.0014239943	0.1763600498	1	10001.3396843673	2004.8389127119	
GPCM	1	2004-01-09	0.65	0.65	0	0.0710414392	1	9981.3396843673	2000.2679368735	
ESYS	1	2004-01-12	1.05	1.05	-0.0740740741	0.1413690804	1	9813.4679853396	1996.2679368735	
UPI	1	2004-01-13	4.65	4.65	0.0227272727	0.1008488833	1	9838.0746580002	1962.6935970679	
VASO	1	2004-01-14	2.02	2.02	-0.0377358491	0.0566976505	1	9743.8250379399	1967.6149316001	
AEHR	1	2004-01-15	4.62	4.62	-0.0336448598	0.0528377968	1	9658.2591124509	1948.765007588	
ABAT	0.1	2004-01-16	0.1	1	0	0.2907382467	1	9638.2591124509	1931.6518224902	
ACPW	0.2	2004-01-20	3.4	17	0.0160427807	0.0818147012	1	9649.1840079989	1927.6518224902	
LWLG	1	2004-01-19	0.25	0.25	0	0.040091214	1	9629.1840079989	1929.8368015998	
GPCM	1	2004-01-21	0.72	0.72	0.125	0.0546656981	1	9849.9136081989	1925.8368015998	
PED	0.0029785022	2004-01-22	4.26	1430.2490759754	0.4307175047	0.1114078992	1	10678.4196503558	1969.9827216398	
NHLD	1	2004-01-23	2.74	2.74	0.0442477876	0.1442483596	1	10752.918939297	2135.6839300712	
LTBR	0.0333333333	2004-01-27	0.6	18	0	0.1565329132	1	10732.918939297	2150.5837878594	
DVCR	1.2087912088	2004-01-28	1.06	0.8769090909	-0.0565085982	0.1370438696	1	10591.6184984656	2146.5837878594	
IEC	1	2004-01-29	2.4	2.4	0.0266666667	0.1316405227	1	10628.1071304575	2118.3236996931	
NROM	1	2004-01-30	1.4	1.4	0.2	0.0859437166	1	11033.2314156758	2125.6214260915	
GPCM	1	2004-02-02	0.81	0.81	-0.0099009901	0.0728975419	1	10991.3834326744	2206.6462831352	
IEC	1	2004-02-03	1.5	1.5	-0.1724137931	0.1373700537	1	10592.3702108581	2198.2766865349	
SNGX	0.05	2004-02-04	1.56	31.2	-0.1025641026	0.106374082	1	10355.0908219174	2118.4740421716	
MCZ	1	2004-02-05	0.91	0.91	0.0238095238	0.1131443443	1	10384.4007782122	2071.0181643835	
VSCI	1	2004-02-06	2.83	2.83	0.0432098765	0.0493805115	1	10454.1425133326	2076.8801556425	
AEZS	0.1666666667	2004-02-09	5.51	33.06	0.0490196078	0.0545255432	1	10536.6341066005	2090.8285026665	
PRXI	1	2004-02-10	1.18	1.18	0.1538461538	0.111171324	1	10840.8382329575	2107.3268213201	
REDF	1	2004-02-11	8.9	8.9	0.0148571429	0.1259436418	1	10853.0510094211	2168.1676465915	
SCON	0.0083366553	2004-02-12	4.71	564.9747817048	0.0333933264	0.1265724356	1	10905.5349044249	2170.6102018842	
AEZS	0.1666666667	2004-02-13	5.3	31.8	0.0015503876	0.1268824133	1	10888.9164656356	2181.106980885	
LIVE	0.031082632	2004-02-17	3.51	112.9248	-0.0186908748	0.2664354348	1	10828.2117907273	2177.7832931271	
LWLG	1	2004-02-16	0.25	0.25	0	0.0371354776	1	10808.2117907273	2165.6423581455	
DPDW	0.0008333333	2004-02-18	888	1065600	-0.0361445783	0.1079028033	1	10710.0801392281	2161.6423581455	
AIRI	0.0021386236	2004-02-19	154.88	72420.4123618895	-0.0645661157	0.2120196018	1	10551.7784845377	2142.0160278456	
DVCR	1.2105263158	2004-02-20	0.91	0.7517391304	0.1427056591	0.0790720349	1	10832.9381852293	2110.3556969075	
IDSA	3.0773109244	2004-02-23	16.06	5.2188421628	0.1408483263	0.1886109609	1	11118.0984276268	2166.5876370459	
GPCM	1	2004-02-24	0.73	0.73	0.4383561644	0.1140326079	1	12072.8358240215	2223.6196855254	
TGC	1	2004-02-25	0.6	0.6	-0.0769230769	0.1689380963	1	11867.0998882673	2414.5671648043	
SMSI	1	2004-02-26	2.73	2.73	-0.0338345865	0.0647234724	1	11766.7962048129	2373.4199776535	
NSFDF	1	2004-02-27	1.4	1.4	0.2	0.0514901147	1	12217.4680530054	2353.3592409626	
GPCM	1	2004-03-01	0.85	0.85	-0.0476190476	0.1198200373	1	12081.1112144053	2443.4936106011	
XPLR	0.0025	2004-03-02	360	144000	-0.1161904762	0.1211653064	1	11780.369201423	2416.2222428811	
REDF	1	2004-03-03	8.04	8.04	-0.0260688217	0.0657575396	1	11698.9491325939	2356.0738402846	
AXGN	1.2210526316	2004-03-04	1.4	1.1465517241	0.001572327	0.123537695	1	11682.6280474154	2339.7898265188	
NSFDF	1	2004-03-05	1.7	1.7	0.09375	0.1513075334	1	11881.6773233045	2336.5256094831	
TISA	1	2004-03-08	3.35	3.35	-0.0147928994	0.1318768534	1	11826.5244318154	2376.3354646609	
DVCR	1.2142857143	2004-03-09	0.92	0.7576470588	-0.075245098	0.0534556027	1	11628.5468337484	2365.3048863631	
NTIP	1.04	2004-03-10	0.26	0.25	-0.28	0.0565711196	1	10957.3482110585	2325.7093667497	
NSFDF	1	2004-03-11	1.55	1.55	-0.0294117647	0.4244227621	1	10872.8932215817	2191.4696422117	
NTIP	1.0555555556	2004-03-12	0.19	0.18	0	0.1277666013	1	10852.8932215817	2174.5786443163	
SCON	0.0083367222	2004-03-15	2.15	257.8951219512	-0.014326215	0.0931710571	1	10801.7970453283	2170.5786443163	
NTIP	1.0555555556	2004-03-16	0.19	0.18	-0.3333333333	0.098411107	1	10061.6772423064	2160.3594090657	
SCON	0.0083365201	2004-03-17	2.06	247.1055045872	-0.009100232	0.1157666779	1	10023.3645229445	2012.3354484613	
SOQ	0.1799450549	2004-03-18	1.4	7.7801526718	0.0001774662	0.2454165116	1	10003.7202846791	2004.6729045889	
COPY	1	2004-03-19	0.37	0.37	-0.1219512195	0.0809320255	1	9739.727107004	2000.7440569358	
SOQ	0.1799410029	2004-03-22	1.31	7.2801639344	0.0325203252	0.2011360702	1	9783.0749255862	1947.9454214008	
DVCR	1.2195121951	2004-03-23	0.85	0.697	0.0204382203	0.0937603478	1	9803.0646536798	1956.6149851172	
HOLL	1	2004-03-24	3.25	3.25	-0.0298507463	0.5265639095	1	9724.5388945534	1960.612930736	
DVCR	1.2110091743	2004-03-25	1.03	0.850530303	0.1432857143	0.0586337455	1	9983.2163948744	1944.9077789107	
IDN	1	2004-03-26	4.95	4.95	0.012145749	0.0504742116	1	9987.4671229592	1996.6432789749	
IDSA	3.0788381743	2004-03-29	34.7	11.2704851752	-0.0519340103	0.0670696726	1	9863.7292789316	1997.4934245918	
NSFDF	1	2004-03-30	1.85	1.85	0.125	0.0633015785	1	10090.3225109049	1972.7458557863	
GSB	1.0625	2004-03-31	0.17	0.16	-0.0625	0.0921719882	1	9944.1934795185	2018.064502181	
CVM	0.1	2004-04-01	1.16	11.6	0.0088495575	0.0656606888	1	9941.7938219602	1988.8386959037	
DYSL	1	2004-04-02	0.25	0.25	0	0.1118919722	1	9921.7938219602	1988.358764392	
DYSL	1	2004-04-05	0.27	0.27	0	0.1475833489	1	9901.7938219602	1984.358764392	
ARIS	1	2004-04-06	1.5	1.5	-0.1071428571	0.1436850116	1	9669.6125257753	1980.358764392	
PED	0.0029786488	2004-04-07	4.11	1379.8202521008	-0.2363539731	0.3291208666	1	9192.5222580659	1933.9225051551	
GSB	1.0666666667	2004-04-08	0.25	0.234375	0.0625	0.2758719108	1	9287.4287862917	1838.5044516132	
NTIP	1.0416666667	2004-04-12	0.22	0.2112	0.8315018315	0.1134129463	1	10811.9315954406	1857.4857572583	
LWLG	1	2004-04-09	0.25	0.25	0	0.0474370251	1	10791.9315954406	2162.3863190881	
AEY	1	2004-04-13	6.8	6.8	0.015625	0.0781102909	1	10805.6563816763	2158.3863190881	
JOEZ	1	2004-04-14	2.15	2.15	0.0177514793	0.1086125067	1	10824.019658771	2161.1312763353	
GSB	1.0666666667	2004-04-15	0.16	0.15	0	0.0999871788	1	10804.019658771	2164.8039317542	
MSTX	0.04	2004-04-16	2	50	-0.0714285714	0.0478221465	1	10629.6765207886	2160.8039317542	
ABAT	0.1	2004-04-19	0.43	4.3	-0.3333333333	0.8361143311	1	9901.0314194027	2125.9353041577	
MAGS	1.0501672241	2004-04-20	36.09	34.365955414	-0.0083189597	0.0709803371	1	9864.5581630679	1980.2062838805	
PNTR	0.01	2004-04-21	0.22	22	-0.0952380952	0.0918453181	1	9656.6618171047	1972.9116326136	
SMSI	1	2004-04-22	2.58	2.58	-0.0191082803	0.0793744216	1	9599.7573770393	1931.3323634209	
PRXI	1	2004-04-23	2.05	2.05	0.0170212766	0.0595178592	1	9612.4374021526	1919.9514754079	
ABAT	0.1	2004-04-27	0.49	4.9	0	0.077812928	1	9592.4374021526	1922.4874804305	
